feature,gain_importance
tfidf__woman yellow,0
tfidf__women,0
tfidf__women blue,0
tfidf__women sit,0
tfidf__women stand,0
tfidf__women white,0
tfidf__wooden,0
tfidf__word,0
tfidf__word ocr,0
tfidf__work,0
tfidf__world,0
tfidf__world ocr,0
tfidf__wr,0
tfidf__write,0
tfidf__wt,0
tfidf__xi,0
tfidf__ye,0
tfidf__yellow,0
tfidf__yellow shirt,0
tfidf__young,0
tfidf__young boy,0
tfidf__young girl,0
tfidf__zi,0
tfidf__ani,0
tfidf__anusha,0
tfidf__anusha mukherje,0
tfidf__app,0
tfidf__april,0
tabular__unique_token_ratio,0
tfidf__aq,0
tfidf__ar,0
tfidf__arm,0
tfidf__arm ocr,0
tfidf__armi,0
tfidf__arriv,0
tfidf__astronaut,0
tfidf__astronaut stand,0
tfidf__ate,0
tfidf__att,0
tfidf__au,0
tfidf__babi,0
tfidf__babi ocr,0
tfidf__background,0
tfidf__background ocr,0
tfidf__bad,0
tfidf__bad da,0
tfidf__bag,0
tfidf__ball,0
tfidf__bancladesh,0
tfidf__band,0
tfidf__bang,0
tfidf__bang bang,0
tfidf__bang ocr,0
tfidf__bangladesh,0
tfidf__bangladesh bank,0
tfidf__bangladesh cricket,0
tfidf__bangladesh flag,0
tfidf__bangladesh nation,0
tfidf__bangladesh ocr,0
tfidf__bangladesh vs,0
tfidf__bank,0
tfidf__bank logo,0
tfidf__bank note,0
tfidf__bank ocr,0
tfidf__banner,0
tfidf__banner ocr,0
tfidf__banner street,0
tfidf__bar,0
tfidf__bar ocr,0
tfidf__bat,0
tfidf__bat ocr,0
tfidf__beard,0
tfidf__beard glass,0
tfidf__beard ocr,0
tfidf__bed,0
tfidf__bed ocr,0
tfidf__bench,0
tfidf__bench ocr,0
tfidf__best,0
tfidf__bharat,0
tfidf__big,0
tfidf__bjp,0
tfidf__bjp candid,0
tfidf__bjp parti,0
tfidf__black,0
tfidf__black dress,0
tfidf__black jacket,0
tfidf__black shirt,0
tfidf__black suit,0
tfidf__black white,0
tfidf__blue,0
tfidf__blue dress,0
tfidf__blue glove,0
tfidf__blue jacket,0
tfidf__blue scarf,0
tfidf__action,0
tfidf__afa,0
tfidf__ahmedabad,0
tfidf__ahmedabad ocr,0
tfidf__ai,0
tfidf__aia,0
tfidf__aia day,0
tfidf__aic,0
tfidf__air,0
tfidf__air ocr,0
tfidf__aj,0
tfidf__aj da,0
tfidf__aj dda,0
tfidf__ajda,0
tfidf__al,0
tfidf__address,0
tfidf__ad dda,0
tfidf__blue scrub,0
tfidf__blue shirt,0
tfidf__blue sky,0
tfidf__board,0
tfidf__boat,0
tfidf__boat ocr,0
tfidf__book,0
tfidf__book ocr,0
